date,reason
2011-01-15,no source file
2011-01-16,no source file
2011-01-17,no source file
2011-01-18,no source file
2011-01-19,no source file
2011-01-20,no source file
2011-01-21,no source file
2011-01-22,no source file
2011-01-23,no source file
2011-01-24,no source file
2011-01-25,no source file
2011-01-26,no source file
2011-01-27,no source file
2011-01-28,no source file
2011-01-29,no source file
2011-01-30,no source file
2011-01-31,no source file
2011-02-01,no source file
2011-02-02,no source file
2011-02-03,no source file
2011-02-04,no source file
2011-02-05,no source file
2011-02-06,no source file
2011-02-07,no source file
2011-02-08,no source file
2011-02-09,no source file
2011-02-10,no source file
2011-02-11,no source file
2011-02-12,no source file
2011-02-13,no source file
2011-02-14,no source file
2011-02-15,no source file
2011-02-16,no source file
2011-02-17,no source file
2011-02-18,no source file
2011-02-19,no source file
2011-02-20,no source file
2011-02-21,no source file
2011-02-22,no source file
2011-02-23,no source file
2011-02-24,no source file
2011-02-25,no source file
2011-02-26,no source file
2011-02-27,no source file
2011-02-28,no source file
2011-03-01,no source file
2011-03-02,no source file
2011-03-04,no source file
2011-03-05,no source file
2011-03-07,no source file
2011-03-08,no source file
2011-03-09,no source file
2011-03-10,no source file
2011-03-11,no source file
2011-03-12,no source file
2011-03-13,no source file
2011-03-14,no source file
2011-03-15,no source file
2011-03-16,no source file
2011-03-17,no source file
2011-03-18,no source file
2011-03-19,no source file
2011-03-20,no source file
2011-03-21,no source file
2011-03-22,no source file
2011-03-23,no source file
2011-03-24,no source file
2011-03-25,no source file
2011-03-26,no source file
2011-03-27,no source file
2011-03-28,no source file
2011-03-29,no source file
2011-03-30,no source file
2011-03-31,no source file
2011-04-01,no source file
2011-04-02,no source file
2011-04-03,no source file
2011-04-04,no source file
2011-04-05,no source file
2011-04-06,no source file
2011-04-07,no source file
2011-04-08,no source file
2011-04-09,no source file
2011-04-10,no source file
2011-04-11,no source file
2011-04-12,no source file
2011-04-13,no source file
2011-04-14,no source file
2011-04-15,no source file
2011-04-16,no source file
2011-04-17,no source file
2011-04-18,no source file
2011-04-19,no source file
2011-04-20,no source file
2011-04-21,no source file
2011-04-22,no source file
2011-04-23,no source file
2011-04-24,no source file
2011-04-25,no source file
2011-04-26,no source file
2011-04-27,no source file
2011-04-28,no source file
2011-04-29,no source file
2011-04-30,no source file
2011-05-01,no source file
2011-05-02,no source file
2011-05-03,no source file
2011-05-04,no source file
2011-05-05,no source file
2011-05-06,no source file
2011-05-07,no source file
2011-05-08,no source file
2011-05-09,no source file
2011-05-10,no source file
2011-05-11,no source file
2011-05-12,no source file
2011-05-13,no source file
2011-05-14,no source file
2011-05-15,no source file
2011-05-16,no source file
2011-05-17,no source file
2011-05-18,no source file
2011-05-19,no source file
2011-05-20,no source file
2011-05-21,no source file
2011-05-22,no source file
2011-05-23,no source file
2011-05-24,no source file
2011-05-25,no source file
2011-05-26,no source file
2011-05-27,no source file
2011-05-28,no source file
2011-05-29,no source file
2011-05-30,no source file
2011-05-31,no source file
2011-06-01,no source file
2011-06-02,no source file
2011-06-03,no source file
2011-06-04,no source file
2011-06-05,no source file
2011-06-06,no source file
2011-06-07,no source file
2011-06-08,no source file
2011-06-09,no source file
2011-06-10,no source file
2011-06-11,no source file
2011-06-12,no source file
2011-06-13,no source file
2011-06-14,no source file
2011-06-15,no source file
2011-06-16,no source file
2011-06-17,no source file
2011-06-18,no source file
2011-06-19,no source file
2011-06-20,no source file
2011-06-21,no source file
2011-06-22,no source file
2011-06-23,no source file
2011-06-24,no source file
2011-06-25,no source file
2011-06-26,no source file
2011-06-27,no source file
2011-06-28,no source file
2011-06-29,no source file
2011-06-30,no source file
2011-07-01,no source file
2011-07-02,no source file
2011-07-03,no source file
2011-07-04,no source file
2011-07-05,no source file
2011-07-06,no source file
2011-07-07,no source file
2011-07-08,no source file
2011-07-09,no source file
2011-07-10,no source file
2011-07-11,no source file
2011-07-12,no source file
2011-07-13,no source file
2011-07-14,no source file
2011-07-15,no source file
2011-07-16,no source file
2011-07-17,no source file
2011-07-18,no source file
2011-07-19,no source file
2011-07-20,no source file
2011-07-21,no source file
2011-07-22,no source file
2011-07-23,no source file
2011-07-24,no source file
2011-07-25,no source file
2011-07-26,no source file
2011-07-30,no source file
2011-08-01,no source file
2011-08-08,no source file
2011-08-09,no source file
2011-08-10,no source file
2011-08-11,no source file
2011-08-12,no source file
2011-08-13,no source file
2011-08-14,no source file
2011-08-15,no source file
2011-08-16,no source file
2011-08-17,no source file
2011-08-18,no source file
2011-08-19,no source file
2011-08-20,no source file
2011-08-21,no source file
2011-08-22,no source file
2011-08-24,no source file
2011-08-29,no source file
2011-08-30,no source file
2011-09-01,no source file
2011-09-02,no source file
2011-09-04,no source file
2011-09-05,no source file
2011-09-06,no source file
2011-09-08,no source file
2011-09-09,no source file
2011-09-10,no source file
2011-09-11,no source file
2011-09-12,no source file
2011-09-13,no source file
2011-09-14,no source file
2011-09-15,no source file
2011-09-16,no source file
2011-09-17,no source file
2011-09-18,no source file
2011-09-19,no source file
2011-09-20,no source file
2011-09-21,no source file
2011-09-22,no source file
2011-09-23,no source file
2011-09-24,no source file
2011-09-25,no source file
2011-09-26,no source file
2011-09-27,no source file
2011-09-28,no source file
2011-09-29,no source file
2011-09-30,no source file
2011-10-01,no source file
2011-10-02,no source file
2011-10-03,no source file
2011-10-04,no source file
2011-10-05,no source file
2011-10-06,no source file
2011-10-07,no source file
2011-10-08,no source file
2011-10-09,no source file
2011-10-10,no source file
2011-10-11,no source file
2011-10-12,no source file
2011-10-13,no source file
2011-10-14,no source file
2011-10-15,no source file
2011-10-16,no source file
2011-10-17,no source file
2011-10-18,no source file
2011-10-19,no source file
2011-10-20,no source file
2011-10-23,no source file
2011-10-24,no source file
2011-10-26,no source file
2011-10-27,no source file
2011-10-28,no source file
2011-10-29,no source file
2011-10-30,no source file
2011-10-31,no source file
2011-11-01,no source file
2011-11-02,no source file
2011-11-03,no source file
2011-11-04,no source file
2011-11-05,no source file
2011-11-06,no source file
2011-11-07,no source file
2011-11-08,no source file
2011-11-09,no source file
2011-11-10,no source file
2011-11-11,no source file
2011-11-12,no source file
2011-11-13,no source file
2011-11-14,no source file
2011-11-15,no source file
2011-11-16,no source file
2011-11-17,no source file
2011-11-18,no source file
2011-11-19,no source file
2011-11-20,no source file
2011-11-22,no source file
2011-11-25,no source file
2011-11-26,no source file
2011-11-27,no source file
2011-11-28,no source file
2011-11-29,no source file
2011-11-30,no source file
2011-12-01,no source file
2011-12-02,no source file
2011-12-03,no source file
2011-12-04,no source file
2011-12-05,no source file
2011-12-06,no source file
2011-12-07,no source file
2011-12-08,no source file
2011-12-09,no source file
2011-12-10,no source file
2011-12-11,no source file
2011-12-12,no source file
2011-12-13,no source file
2011-12-14,no source file
2011-12-15,no source file
2011-12-16,no source file
2011-12-17,no source file
2011-12-18,no source file
2011-12-19,no source file
2011-12-20,no source file
2011-12-21,no source file
2011-12-22,no source file
2011-12-23,no source file
2011-12-24,no source file
2011-12-25,no source file
2011-12-26,no source file
2011-12-27,no source file
2011-12-28,no source file
2011-12-29,no source file
2011-12-30,no source file
2011-12-31,no source file
2012-01-01,no source file
2012-01-02,no source file
2012-01-03,no source file
2012-01-04,no source file
2012-01-05,no source file
2012-01-06,no source file
2012-01-07,no source file
2012-01-14,no source file
2012-01-15,no source file
2012-01-21,no source file
2012-01-31,no source file
2012-02-01,no source file
2012-02-03,no source file
2012-02-05,no source file
2012-02-06,no source file
2012-02-08,no source file
2012-02-12,no source file
2012-02-15,no source file
2012-02-18,no source file
2012-02-19,no source file
2012-02-21,no source file
2012-02-22,no source file
2012-02-23,no source file
2012-02-24,no source file
2012-02-26,no source file
2012-02-29,no source file
2012-03-01,no source file
2012-03-03,no source file
2012-03-05,no source file
2012-03-07,no source file
2012-03-13,no source file
2012-03-14,no source file
2012-03-15,no source file
2012-03-16,no source file
2012-03-17,no source file
2012-03-19,no source file
2012-03-22,no source file
2012-03-23,no source file
2012-03-24,no source file
2012-03-26,no source file
2012-03-27,no source file
2012-03-31,no source file
2012-04-01,no source file
2012-04-02,no source file
2012-04-04,no source file
2012-04-05,no source file
2012-04-06,no source file
2012-04-07,no source file
2012-04-12,no source file
2012-04-13,no source file
2012-04-14,no source file
2012-04-15,no source file
2012-04-16,no source file
2012-04-17,no source file
2012-04-20,no source file
2012-04-21,no source file
2012-04-22,no source file
2012-04-23,no source file
2012-04-24,no source file
2012-04-26,no source file
2012-04-27,no source file
2012-04-28,no source file
2012-04-29,no source file
2012-04-30,no source file
2012-05-01,no source file
2012-05-02,no source file
2012-05-03,no source file
2012-05-04,no source file
2012-05-06,no source file
2012-05-08,no source file
2012-05-09,no source file
2012-05-10,no source file
2012-05-11,no source file
2012-05-12,no source file
2012-05-13,no source file
2012-05-14,no source file
2012-05-15,no source file
2012-05-17,no source file
2012-05-20,no source file
2012-05-21,no source file
2012-05-22,no source file
2012-05-23,no source file
2012-05-24,no source file
2012-05-25,no source file
2012-05-26,no source file
2012-05-27,no source file
2012-05-28,no source file
2012-05-29,no source file
2012-05-30,no source file
2012-05-31,no source file
2012-06-01,no source file
2012-06-02,no source file
2012-06-03,no source file
2012-06-04,no source file
2012-06-06,no source file
2012-06-07,no source file
2012-06-08,no source file
2012-06-09,no source file
2012-06-11,no source file
2012-06-12,no source file
2012-06-20,no source file
2012-06-23,no source file
2012-06-24,no source file
2012-06-26,no source file
2012-06-27,no source file
2012-06-28,no source file
2012-06-29,no source file
2012-06-30,no source file
2012-07-02,no source file
2012-07-03,no source file
2012-07-04,no source file
2012-07-05,no source file
2012-07-06,no source file
2012-07-09,no source file
2012-07-10,no source file
2012-07-13,no source file
2012-07-14,no source file
2012-07-15,no source file
2012-07-16,no source file
2012-07-17,no source file
2012-07-18,no source file
2012-07-19,no source file
2012-07-20,no source file
2012-07-22,no source file
2012-07-23,no source file
2012-07-24,no source file
2012-07-27,no source file
2012-07-28,no source file
2012-07-29,no source file
2012-07-30,no source file
2012-07-31,no source file
2012-08-04,no source file
2012-08-05,no source file
2012-08-06,no source file
2012-08-09,no source file
2012-08-11,no source file
2012-08-12,no source file
2012-08-13,no source file
2012-08-14,no source file
2012-08-15,no source file
2012-08-16,no source file
2012-08-17,no source file
2012-08-19,no source file
2012-08-20,no source file
2012-08-21,no source file
2012-08-22,no source file
2012-08-24,no source file
2012-08-25,no source file
2012-08-27,no source file
2012-08-29,no source file
2012-08-30,no source file
2012-08-31,no source file
2012-09-01,no source file
2012-09-02,no source file
2012-09-03,no source file
2012-09-04,no source file
2012-09-06,no source file
2012-09-07,no source file
2012-09-08,no source file
2012-09-09,no source file
2012-09-10,no source file
2012-09-12,no source file
2012-09-13,no source file
2012-09-15,no source file
2012-09-16,no source file
2012-09-17,no source file
2012-09-18,no source file
2012-09-20,no source file
2012-09-21,no source file
2012-09-22,no source file
2012-09-23,no source file
2012-09-25,no source file
2012-09-26,no source file
2012-09-27,no source file
2012-10-02,no source file
2012-10-03,no source file
2012-10-04,no source file
2012-10-20,no source file
2012-10-21,no source file
2012-10-22,no source file
2012-10-25,no source file
2012-10-26,no source file
2012-10-27,no source file
2012-10-28,no source file
2012-10-30,no source file
2012-10-31,no source file
2012-11-03,no source file
2012-11-05,no source file
2012-11-08,no source file
2012-11-10,no source file
2012-11-11,no source file
2012-11-12,no source file
2012-11-13,no source file
2012-11-14,no source file
2012-11-15,no source file
2012-11-16,no source file
2012-11-18,no source file
2012-11-20,no source file
2012-11-21,no source file
2012-11-22,no source file
2012-11-23,no source file
2012-11-24,no source file
2012-11-25,no source file
2012-11-26,no source file
2012-11-28,no source file
2012-11-29,no source file
2012-12-01,no source file
2012-12-02,no source file
2012-12-04,no source file
2012-12-06,no source file
2012-12-08,no source file
2012-12-09,no source file
2012-12-12,no source file
2012-12-14,no source file
2012-12-16,no source file
2012-12-17,no source file
2012-12-18,no source file
2012-12-21,no source file
2012-12-28,no source file
2012-12-29,no source file
2013-01-01,no source file
2013-01-04,no source file
2013-01-05,no source file
2013-01-06,no source file
2013-01-07,no source file
2013-01-08,no source file
2013-01-09,no source file
2013-01-11,no source file
2013-01-14,no source file
2013-01-15,no source file
2013-01-16,no source file
2013-01-17,no source file
2013-01-19,no source file
2013-01-21,no source file
2013-01-22,no source file
2013-01-26,no source file
2013-01-27,no source file
2013-01-28,no source file
2013-01-30,no source file
2013-02-02,no source file
2013-02-03,no source file
2013-02-04,no source file
2013-02-05,no source file
2013-02-06,no source file
2013-02-07,no source file
2013-02-08,no source file
2013-02-09,no source file
2013-02-10,no source file
2013-02-11,no source file
2013-02-12,no source file
2013-02-13,no source file
2013-02-14,no source file
2013-02-15,no source file
2013-02-16,no source file
2013-02-17,no source file
2013-02-18,no source file
2013-02-23,no source file
2013-02-24,no source file
2013-03-03,no source file
2013-03-11,no source file
2013-03-12,no source file
2013-03-16,no source file
2013-03-19,no source file
2013-03-21,no source file
2013-03-22,no source file
2013-03-23,no source file
2013-03-24,no source file
2013-03-25,no source file
2013-03-26,no source file
2013-03-27,no source file
2013-03-28,no source file
2013-03-29,no source file
2013-03-30,no source file
2013-03-31,no source file
2013-04-01,no source file
2013-04-02,no source file
2013-04-03,no source file
2013-04-04,no source file
2013-04-05,no source file
2013-04-06,no source file
2013-04-07,no source file
2013-04-08,no source file
2013-04-09,no source file
2013-04-10,no source file
2013-04-11,no source file
2013-04-12,no source file
2013-04-13,no source file
2013-04-14,no source file
2013-04-15,no source file
2013-04-16,no source file
2013-04-18,no source file
2013-04-19,no source file
2013-04-20,no source file
2013-04-21,no source file
2013-04-23,no source file
2013-04-24,no source file
2013-04-25,no source file
2013-04-28,no source file
2013-05-04,no source file
2013-05-05,no source file
2013-05-06,no source file
2013-05-07,no source file
2013-05-08,no source file
2013-05-09,no source file
2013-05-10,no source file
2013-05-11,no source file
2013-05-12,no source file
2013-05-13,no source file
2013-05-14,no source file
2013-05-15,no source file
2013-05-16,no source file
2013-05-19,no source file
2013-05-20,no source file
2013-05-21,no source file
2013-05-22,no source file
2013-05-23,no source file
2013-05-24,no source file
2013-05-25,no source file
2013-05-26,no source file
2013-05-27,no source file
2013-05-28,no source file
2013-05-29,no source file
2013-05-30,no source file
2013-05-31,no source file
2013-06-01,no source file
2013-06-02,no source file
2013-06-03,no source file
2013-06-05,no source file
2013-06-07,no source file
2013-06-09,no source file
2013-06-10,no source file
2013-06-11,no source file
2013-06-12,no source file
2013-06-13,no source file
2013-06-14,no source file
2013-06-15,no source file
2013-06-16,no source file
2013-06-17,no source file
2013-06-19,no source file
2013-06-20,no source file
2013-06-21,no source file
2013-06-22,no source file
2013-06-23,no source file
2013-06-24,no source file
2013-06-25,no source file
2013-06-26,no source file
2013-06-27,no source file
2013-06-28,no source file
2013-06-29,no source file
2013-06-30,no source file
2013-07-01,no source file
2013-07-02,no source file
2013-07-03,no source file
2013-07-04,no source file
2013-07-05,no source file
2013-07-06,no source file
2013-07-07,no source file
2013-07-08,no source file
2013-07-09,no source file
2013-07-10,no source file
2013-07-16,no source file
2013-07-17,no source file
2013-07-20,no source file
2013-07-21,no source file
2013-07-22,no source file
2013-07-25,no source file
2013-08-01,no source file
2013-08-13,no source file
2013-08-14,no source file
2013-08-15,no source file
2013-08-22,no source file
2013-08-23,no source file
2013-08-25,no source file
2013-08-29,no source file
2013-08-30,no source file
2013-08-31,no source file
2013-09-01,no source file
2013-09-03,no source file
